round_id,round_date,course_name,hole_number,par,hole_yards,hole_handicap,shot_number,club,shot_type,start_lie,start_dist_yards,end_lie,end_dist_yards,penalty
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,1,4,0,9,1,Jo,TEE,tee,277.9,rough,233.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,1,4,0,9,2,894935293,APPROACH,rough,233.8,rough,62.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,1,4,0,9,3,56 Degree,APPROACH,rough,62.1,green,4.7,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,1,4,0,9,4,Simmo the Savage,PUTT,green,4.7,green,2.5,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,1,4,0,9,5,Simmo the Savage,PUTT,green,2.5,green,12.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,1,Jo,TEE,tee,312.1,rough,230.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,2,894935293,APPROACH,rough,230.1,rough,144.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,3,894935296,APPROACH,rough,144.8,rough,26.4,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,4,56 Degree,CHIP,rough,26.4,green,11.7,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,5,Simmo the Savage,PUTT,green,11.7,green,6.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,2,4,0,7,6,Simmo the Savage,PUTT,green,6.1,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,3,3,0,17,1,894935297,APPROACH,tee,131.6,fairway,32.6,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,3,3,0,17,2,56 Degree,CHIP,fairway,32.6,sand,18.3,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,3,3,0,17,3,56 Degree,CHIP,sand,18.3,green,11.4,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,3,3,0,17,4,Simmo the Savage,PUTT,green,11.4,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,4,5,0,1,1,Jo,TEE,tee,550.0,fairway,248.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,4,5,0,1,2,Big Bertha,APPROACH,fairway,248.8,rough,134.2,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,4,5,0,1,3,894935297,APPROACH,rough,134.2,green,17.5,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,4,5,0,1,4,Simmo the Savage,PUTT,green,17.5,green,9.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,4,5,0,1,5,Simmo the Savage,PUTT,green,9.1,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,5,3,0,15,1,894935296,APPROACH,tee,127.1,rough,44.7,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,5,3,0,15,2,56 Degree,CHIP,rough,44.7,rough,29.7,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,5,3,0,15,3,56 Degree,CHIP,rough,29.0,green,7.1,2
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,5,3,0,15,4,Simmo the Savage,PUTT,green,7.1,green,7.6,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,5,3,0,15,5,Simmo the Savage,PUTT,green,7.6,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,6,5,0,3,1,Jo,TEE,tee,498.4,rough,293.4,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,6,5,0,3,2,894935293,UNKNOWN,rough,293.4,fairway,92.6,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,6,5,0,3,3,52 Degree,APPROACH,fairway,92.6,green,7.2,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,6,5,0,3,4,Simmo the Savage,PUTT,green,7.2,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,7,4,0,11,1,Jo,TEE,tee,319.0,rough,62.2,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,7,4,0,11,2,56 Degree,CHIP,rough,62.2,rough,67.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,7,4,0,11,3,56 Degree,APPROACH,rough,67.9,rough,17.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,7,4,0,11,4,56 Degree,CHIP,rough,17.9,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,8,4,0,5,1,Jo,TEE,tee,373.6,rough,114.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,8,4,0,5,2,52 Degree,APPROACH,rough,114.8,rough,58.4,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,8,4,0,5,3,56 Degree,CHIP,rough,58.4,rough,18.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,8,4,0,5,4,Approach Wedge,CHIP,rough,18.9,green,16.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,8,4,0,5,5,Simmo the Savage,PUTT,green,16.1,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,1,Jo,TEE,tee,274.0,rough,63.5,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,2,Approach Wedge,RECOVERY,rough,63.5,rough,141.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,3,894935295,APPROACH,rough,141.0,fairway,61.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,4,894935298,APPROACH,fairway,61.9,green,19.6,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,5,Simmo the Savage,PUTT,green,19.6,green,6.4,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,6,Simmo the Savage,PUTT,green,6.4,green,5.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,9,4,0,13,7,Simmo the Savage,PUTT,green,5.8,hole,0.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,10,4,0,12,1,Jo,TEE,tee,281.0,rough,101.1,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,10,4,0,12,2,Approach Wedge,APPROACH,rough,101.1,rough,43.9,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,10,4,0,12,3,56 Degree,CHIP,rough,43.9,green,19.0,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,10,4,0,12,4,Simmo the Savage,PUTT,green,19.0,green,9.8,0
22574661074,2026-04-18,Apple Greens Golf Course ~ One & Two,10,4,0,12,5,Simmo the Savage,PUTT,green,9.8,green,5.5,0
